ID	adj.P.Val	P.Value	F	Gene.symbol	Gene.title
211414_at	9.23e-12	4.15e-16	42.7908585	GLS	glutaminase
220619_at	1.36e-09	1.43e-13	34.6084913	CHD7	chromodomain helicase DNA binding protein 7
214008_at	1.36e-09	1.84e-13	34.2693127	TWF1	twinfilin actin binding protein 1
204324_s_at	1.67e-09	3.00e-13	33.605093	GOLIM4	golgi integral membrane protein 4
205279_s_at	1.97e-09	4.90e-13	32.9456272	GLRB	glycine receptor beta
205386_s_at	1.97e-09	5.33e-13	32.8330244	MDM2	MDM2 proto-oncogene
214761_at	2.60e-09	8.20e-13	32.257474	ZNF423	zinc finger protein 423
211555_s_at	8.74e-09	3.15e-12	30.4759111	GUCY1B3	guanylate cyclase 1 soluble subunit beta
201789_at	1.50e-08	7.37e-12	29.3612256	PCNX4	pecanex homolog 4 (Drosophila)
206931_at	1.50e-08	7.62e-12	29.318039	ZNF141	zinc finger protein 141
216632_at	1.50e-08	8.00e-12	29.2547207	NAV3	neuron navigator 3
215150_at	1.50e-08	8.19e-12	29.2231197	YOD1	YOD1 deubiquitinase
222249_at	1.50e-08	9.48e-12	29.0323764		
215303_at	1.50e-08	1.01e-11	28.9509143	DCLK1	doublecortin like kinase 1
216728_at	1.50e-08	1.03e-11	28.9193473		
220722_s_at	1.50e-08	1.10e-11	28.8350756	SLC5A7	solute carrier family 5 member 7
216687_x_at	1.50e-08	1.15e-11	28.7821502	UGT2B15	UDP glucuronosyltransferase family 2 member B15
205716_at	1.53e-08	1.24e-11	28.6816513	SLC25A40	solute carrier family 25 member 40
207174_at	1.76e-08	1.51e-11	28.4300173	GPC5	glypican 5
222298_at	1.95e-08	1.84e-11	28.1722891		
220458_at	1.95e-08	1.85e-11	28.1687039		
216826_at	2.33e-08	2.31e-11	27.8813965		
210290_at	2.44e-08	2.60e-11	27.7297017	ZNF174	zinc finger protein 174
215065_at	2.44e-08	2.69e-11	27.6821006	PHF8	PHD finger protein 8
209470_s_at	2.44e-08	2.82e-11	27.6225766	GPM6A	glycoprotein M6A
207645_s_at	2.44e-08	2.86e-11	27.6065795	CHD1L	chromodomain helicase DNA binding protein 1 like
207452_s_at	2.82e-08	3.43e-11	27.3728888	CNTN5	contactin 5
215998_at	2.94e-08	3.74e-11	27.2592698		
217701_x_at	2.94e-08	3.85e-11	27.2232446		
216440_at	2.94e-08	3.97e-11	27.1824659		
220701_at	3.00e-08	4.19e-11	27.114474	LINC00216	long intergenic non-protein coding RNA 216
214811_at	3.54e-08	5.09e-11	26.8644033	RIMBP2	RIMS binding protein 2
217104_at	3.72e-08	5.81e-11	26.6963099	ST20	suppressor of tumorigenicity 20
219686_at	3.72e-08	5.82e-11	26.6948659	STK32B	serine/threonine kinase 32B
217327_at	3.72e-08	5.89e-11	26.6794387		
220311_at	3.72e-08	6.36e-11	26.5811963	N6AMT1	N-6 adenine-specific DNA methyltransferase 1 (putative)
203864_s_at	3.72e-08	6.47e-11	26.5598074	ACTN2	actinin alpha 2
215025_at	3.72e-08	6.48e-11	26.5568304	NTRK3	neurotrophic receptor tyrosine kinase 3
216809_at	3.72e-08	6.54e-11	26.5456991	CYLC1	cylicin 1
204884_s_at	4.02e-08	7.32e-11	26.4012128	HUS1	HUS1 checkpoint clamp component
206639_x_at	4.02e-08	7.42e-11	26.3846399	HTN1	histatin 1
221169_s_at	4.25e-08	8.03e-11	26.28481	HRH4	histamine receptor H4
205669_at	4.33e-08	8.55e-11	26.2049035	NCAM2	neural cell adhesion molecule 2
214457_at	4.33e-08	8.57e-11	26.2008538	HOXA2	homeobox A2
211310_at	5.00e-08	1.01e-10	25.9902052	EZH1	enhancer of zeste 1 polycomb repressive complex 2 subunit
204406_at	5.13e-08	1.08e-10	25.9077143	FLT1	fms related tyrosine kinase 1
217098_s_at	5.13e-08	1.10e-10	25.8804154	ZSCAN12	zinc finger and SCAN domain containing 12
215563_s_at	5.13e-08	1.11e-10	25.8747066	MST1L	macrophage stimulating 1 like
208182_x_at	6.64e-08	1.46e-10	25.5221969	IFNA14	interferon alpha 14
207456_at	6.96e-08	1.57e-10	25.4375014	HNF4G	hepatocyte nuclear factor 4 gamma
206349_at	7.28e-08	1.69e-10	25.3410699	LGI1	leucine rich glioma inactivated 1
210187_at	7.28e-08	1.70e-10	25.3299134	LOC101929368///FKBP1A	uncharacterized LOC101929368///FK506 binding protein 1A
220250_at	7.81e-08	1.89e-10	25.2009726	ZNF286A	zinc finger protein 286A
216779_at	7.81e-08	1.94e-10	25.1677798	CYLC1	cylicin 1
205949_at	7.81e-08	1.96e-10	25.1568638	CA1	carbonic anhydrase 1
214729_at	7.81e-08	1.97e-10	25.1459348	TWISTNB	TWIST neighbor
222340_at	7.81e-08	2.04e-10	25.1042549		
213286_at	7.81e-08	2.04e-10	25.1035779	ZFR	zinc finger RNA binding protein
205357_s_at	7.91e-08	2.10e-10	25.0667083	AGTR1	angiotensin II receptor type 1
202885_s_at	7.97e-08	2.15e-10	25.0350781	PPP2R1B	protein phosphatase 2 scaffold subunit Abeta
210614_at	8.02e-08	2.21e-10	25.000119	TTPA	alpha tocopherol transfer protein
204320_at	8.02e-08	2.24e-10	24.9865571	COL11A1	collagen type XI alpha 1 chain
221467_at	8.04e-08	2.28e-10	24.9629495	MC4R	melanocortin 4 receptor
214852_x_at	8.44e-08	2.43e-10	24.8832098	VPS13A	vacuolar protein sorting 13 homolog A
219926_at	8.90e-08	2.64e-10	24.7768939	POPDC3	popeye domain containing 3
207164_s_at	8.90e-08	2.68e-10	24.7609027	ZBTB18	zinc finger and BTB domain containing 18
216351_x_at	8.90e-08	2.68e-10	24.7588041	DAZ4///DAZ2///DAZ3///DAZ1	deleted in azoospermia 4///deleted in azoospermia 2///deleted in azoospermia 3///deleted in azoospermia 1
222038_s_at	9.16e-08	2.80e-10	24.7031003	UTP18	UTP18, small subunit processome component
215642_at	9.30e-08	2.89e-10	24.6655327		
216078_at	9.53e-08	3.00e-10	24.6169586		
215558_at	9.84e-08	3.19e-10	24.542062	UBR2	ubiquitin protein ligase E3 component n-recognin 2
215637_at	9.84e-08	3.19e-10	24.5416843	CEP41	centrosomal protein 41
210227_at	1.02e-07	3.37e-10	24.4719241	DLGAP2	DLG associated protein 2
207237_at	1.02e-07	3.42e-10	24.4553048	KCNA3	potassium voltage-gated channel subfamily A member 3
208378_x_at	1.02e-07	3.46e-10	24.4402838	FGF5	fibroblast growth factor 5
207240_s_at	1.03e-07	3.52e-10	24.4191026	LHCGR	luteinizing hormone/choriogonadotropin receptor
217953_at	1.03e-07	3.62e-10	24.3841352	PHF3	PHD finger protein 3
215351_at	1.03e-07	3.63e-10	24.3784586	RTCA	RNA 3'-terminal phosphate cyclase
220895_at	1.06e-07	3.86e-10	24.3027268	USP29	ubiquitin specific peptidase 29
220356_at	1.06e-07	3.89e-10	24.2920565	CORIN	corin, serine peptidase
205380_at	1.06e-07	3.91e-10	24.2861913	PDZK1	PDZ domain containing 1
219778_at	1.06e-07	3.93e-10	24.2790264	ZFPM2	zinc finger protein, FOG family member 2
207601_at	1.06e-07	3.97e-10	24.2689675	SULT1B1	sulfotransferase family 1B member 1
206089_at	1.06e-07	3.99e-10	24.2599658	NELL1	neural EGFL like 1
221144_at	1.07e-07	4.08e-10	24.2330111		
205884_at	1.10e-07	4.33e-10	24.1590478	ITGA4	integrin subunit alpha 4
216513_at	1.10e-07	4.34e-10	24.1548633	DCT	dopachrome tautomerase
203730_s_at	1.10e-07	4.41e-10	24.1347587	ZKSCAN5	zinc finger with KRAB and SCAN domains 5
211572_s_at	1.10e-07	4.42e-10	24.1342258	SLC23A2	solute carrier family 23 member 2
205816_at	1.11e-07	4.51e-10	24.1073983	ITGB8	integrin subunit beta 8
210500_at	1.14e-07	4.67e-10	24.0645894		
222365_at	1.14e-07	4.70e-10	24.0560438	TBCEL	tubulin folding cofactor E like
205123_s_at	1.15e-07	4.86e-10	24.0136529	MSANTD3-TMEFF1///TMEFF1	MSANTD3-TMEFF1 readthrough///transmembrane protein with EGF like and two follistatin like domains 1
215063_x_at	1.15e-07	4.87e-10	24.0109697	LRRC40	leucine rich repeat containing 40
210861_s_at	1.25e-07	5.34e-10	23.8961452	WISP3	WNT1 inducible signaling pathway protein 3
220580_at	1.29e-07	5.55e-10	23.8479484	BICC1	BicC family RNA binding protein 1
221104_s_at	1.30e-07	5.72e-10	23.8120867	NIPSNAP3B	nipsnap homolog 3B
213625_at	1.30e-07	5.72e-10	23.8116812	ZKSCAN4	zinc finger with KRAB and SCAN domains 4
204421_s_at	1.32e-07	5.87e-10	23.7784895	FGF2	fibroblast growth factor 2
215505_s_at	1.40e-07	6.31e-10	23.6887432	STRN3	striatin 3
207050_at	1.42e-07	6.54e-10	23.6443799	CACNA2D1	calcium voltage-gated channel auxiliary subunit alpha2delta 1
206786_at	1.42e-07	6.55e-10	23.6416551	HTN3	histatin 3
206837_at	1.42e-07	6.60e-10	23.6329955	ALX1	ALX homeobox 1
203496_s_at	1.48e-07	6.94e-10	23.5706892	MED1	mediator complex subunit 1
206432_at	1.54e-07	7.29e-10	23.5086558	HAS2	hyaluronan synthase 2
206893_at	1.66e-07	7.91e-10	23.408513	SALL1	spalt like transcription factor 1
210988_s_at	1.66e-07	8.05e-10	23.3855928	PRUNE1	prune exopolyphosphatase
209966_x_at	1.66e-07	8.06e-10	23.3840082	ESRRG	estrogen related receptor gamma
220697_at	1.71e-07	8.39e-10	23.3346256		
217020_at	1.71e-07	8.49e-10	23.3197406	RARB	retinoic acid receptor beta
220879_at	1.72e-07	8.58e-10	23.3066513		
220703_at	1.88e-07	9.48e-10	23.1827095	IDI2-AS1	IDI2 antisense RNA 1
206928_at	1.89e-07	9.69e-10	23.1552846	ZNF124	zinc finger protein 124
206474_at	1.89e-07	9.71e-10	23.1530454	CDK17	cyclin dependent kinase 17
216322_at	1.90e-07	9.82e-10	23.1391583	CD58	CD58 molecule
207964_x_at	1.94e-07	1.02e-09	23.0940025	IFNA4	interferon alpha 4
217425_at	1.94e-07	1.02e-09	23.0872628	MC2R	melanocortin 2 receptor
216999_at	2.00e-07	1.06e-09	23.0403291	EPOR	erythropoietin receptor
208427_s_at	2.02e-07	1.08e-09	23.0218099	ELAVL2	ELAV like neuron-specific RNA binding protein 2
204184_s_at	2.10e-07	1.13e-09	22.9601545	GRK3	G protein-coupled receptor kinase 3
217394_at	2.12e-07	1.16e-09	22.9373226		
211680_at	2.14e-07	1.17e-09	22.9182609	PDLIM5	PDZ and LIM domain 5
217380_s_at	2.23e-07	1.24e-09	22.8543636	ADD3-AS1	ADD3 antisense RNA 1
205991_s_at	2.31e-07	1.32e-09	22.7767414	PRRX1	paired related homeobox 1
221453_at	2.31e-07	1.32e-09	22.7725378	G6PC2	glucose-6-phosphatase catalytic subunit 2
206772_at	2.31e-07	1.33e-09	22.7634756	PTH2R	parathyroid hormone 2 receptor
211606_at	2.31e-07	1.33e-09	22.7626864		
220663_at	2.31e-07	1.33e-09	22.7611637	IL1RAPL1	interleukin 1 receptor accessory protein like 1
220228_at	2.44e-07	1.43e-09	22.6737233	AP4E1	adaptor related protein complex 4 epsilon 1 subunit
221089_at	2.44e-07	1.44e-09	22.6624095	NOX3	NADPH oxidase 3
217654_at	2.44e-07	1.45e-09	22.6600744	CFLAR	CASP8 and FADD like apoptosis regulator
217252_at	2.44e-07	1.45e-09	22.6576047		
215188_at	2.47e-07	1.48e-09	22.6333318	STK24	serine/threonine kinase 24
207386_at	2.50e-07	1.51e-09	22.6098017	CYP7B1	cytochrome P450 family 7 subfamily B member 1
220851_at	2.52e-07	1.54e-09	22.5855526		
207794_at	2.52e-07	1.54e-09	22.581731	CCR2	C-C motif chemokine receptor 2
204944_at	2.53e-07	1.56e-09	22.5671172	PTPRG	protein tyrosine phosphatase, receptor type G
217244_at	2.57e-07	1.60e-09	22.537768		
208223_s_at	2.57e-07	1.61e-09	22.5301056	ACVR1B	activin A receptor type 1B
206685_at	2.59e-07	1.63e-09	22.5097157	HCG4	HLA complex group 4 (non-protein coding)
207874_s_at	2.64e-07	1.68e-09	22.4757363	CFHR4	complement factor H related 4
220085_at	2.64e-07	1.69e-09	22.4695381	HELLS	helicase, lymphoid-specific
220170_at	2.66e-07	1.71e-09	22.4523846	FHL5	four and a half LIM domains 5
207400_at	2.76e-07	1.79e-09	22.3961363	NPY5R	neuropeptide Y receptor Y5
210712_at	2.80e-07	1.83e-09	22.3711869	LDHAL6B	lactate dehydrogenase A like 6B
205024_s_at	2.82e-07	1.85e-09	22.3554631	RAD51	RAD51 recombinase
204165_at	2.88e-07	1.91e-09	22.3186732	WASF1	WAS protein family member 1
211481_at	2.95e-07	1.97e-09	22.280293	SLCO1A2	solute carrier organic anion transporter family member 1A2
213120_at	3.10e-07	2.08e-09	22.2121911	UHRF1BP1L	UHRF1 binding protein 1 like
216090_x_at	3.17e-07	2.14e-09	22.176653		
220509_at	3.30e-07	2.25e-09	22.1182231	RBM26	RNA binding motif protein 26
202007_at	3.30e-07	2.26e-09	22.1087629	NID1	nidogen 1
214702_at	3.30e-07	2.28e-09	22.1017553	FN1	fibronectin 1
215375_x_at	3.41e-07	2.37e-09	22.0533601	LRRFIP1	LRR binding FLII interacting protein 1
203532_x_at	3.46e-07	2.42e-09	22.0278728	CUL5	cullin 5
220878_at	3.46e-07	2.43e-09	22.0202089		
215396_at	3.47e-07	2.45e-09	22.0105932	ADGRV1	adhesion G protein-coupled receptor V1
216444_at	3.47e-07	2.47e-09	22.0012044		
210800_at	3.50e-07	2.51e-09	21.9821417	TIMM8A	translocase of inner mitochondrial membrane 8 homolog A (yeast)
204723_at	3.57e-07	2.57e-09	21.9525591	SCN3B	sodium voltage-gated channel beta subunit 3
205576_at	3.62e-07	2.63e-09	21.9225697	SERPIND1	serpin family D member 1
